,id,external_id,upload_id,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,elev_high,elev_low,type,start_date,start_date_local,timezone,start_latlng,end_latlng,achievement_count,kudos_count,comment_count,athlete_count,photo_count,total_photo_count,map,trainer,commute,manual,private,flagged,workout_type,average_speed,max_speed,has_kudoed,gear_id,kilojoules,average_watts,device_watts,max_watts,weighted_average_watts
0,282363847,9A54FEB2-B831-404F-911C-AC747346D5CB,319052304.0,{'id': 8583263},Afternoon Ride,9789.1,1898,2057,27.1,61.3,30.4,Ride,2015-04-08 07:12:04+00:00,2015-04-08 16:42:04+00:00,(GMT+09:30) Australia/Adelaide,"[-34.94, 138.6]","[-34.93, 138.6]",0,0,0,1,0,0,"{'id': 'a282363847', 'polyline': None, 'summary_polyline': 'zjftEa||lYsgIqxEx@Qo@rBbC`D~RkRhHpKhAlL~ErNtHf@fLvGuBlTlBfHxSfOxXT`ApCOlFgEvFpA|Ct\\wDxH`FtK`C|@~IvBbC`L{@hE`Dk@{@gC{AdDhFPhFqGhM~A|ExExEvCt@lk@mSbdA}BdA_BhGr@MuCxAbw@iAh@'}",False,False,False,False,False,0.0,5.158,10.3,False,,,,False,,
1,289575461,4CDDC3BE-7EEB-4E42-A267-83CCF01030DF,327365800.0,{'id': 8583263},Afternoon Ride,9967.4,1840,2120,33.1,61.0,30.4,Ride,2015-04-21 07:46:30+00:00,2015-04-21 17:16:30+00:00,(GMT+09:30) Australia/Adelaide,"[-34.93, 138.6]","[-34.88, 138.63]",0,0,0,1,0,0,"{'id': 'a289575461', 'polyline': None, 'summary_polyline': 'zcftEqu|lYyAuTo@qu@mFNq@|A}cAjCml@bSeDo@oH}KnGoNOgDqDgHcKnAeDmD{@eIwLwCcH}EyGX_CxByOT_AeCpEoIiA{GwXk@}SoOeBcG`BwUqLmGgHu@eEmLYcIaKeP'}",False,False,False,False,False,0.0,5.417,15.2,False,,,,False,,
2,290085349,5FA2E7AC-6255-4598-AC63-CEFF43CB9B2D,327965312.0,{'id': 8583263},Morning Ride,10022.0,1763,1958,27.2,61.3,29.7,Ride,2015-04-21 22:02:34+00:00,2015-04-22 07:32:34+00:00,(GMT+09:30) Australia/Adelaide,"[-34.88, 138.63]","[-34.94, 138.6]",13,0,0,1,0,0,"{'id': 'a290085349', 'polyline': None, 'summary_polyline': 'zz|sE_`dmYnGvKhArKfFdNnH`@|KbGsAfVfBtGvCp@~MtM`EeAtHrB`Jo@lAjGc@fEoD|EbA|Bn\\_E~HjFlJpApAdBh@zHnBbC~KmA~ChG`@tFcGxKpHbMdCj@vk@qSnbAeCvJeBpBlcAxDEFvA'}",False,False,False,False,False,0.0,5.685,15.6,False,,,,False,,
3,290188116,E070401A-54B9-40FD-BF9E-068E7C5252E5,328079415.0,{'id': 8583263},Lunch Run,5227.2,1806,1815,10.9,62.2,46.6,Run,2015-04-22 02:47:45+00:00,2015-04-22 12:17:45+00:00,(GMT+09:30) Australia/Adelaide,"[-34.94, 138.6]","[-34.93, 138.61]",0,0,0,1,0,0,"{'id': 'a290188116', 'polyline': None, 'summary_polyline': 'tmftEca}lYeAaIzAJNyDhPcSqEwFvAsDcCoPaEoDnEiSm@kMoKwC{DkHii@bBfj@wAvCxG`LrDt@xCeA`KsVpDEhH'}",False,False,False,False,False,0.0,2.894,6.2,False,,,,,,
4,290272559,4F35938D-5C57-4E13-9D05-137946A8AA5B,328186607.0,{'id': 8583263},Afternoon Ride,9969.3,1859,2017,46.1,61.0,30.4,Ride,2015-04-22 07:41:52+00:00,2015-04-22 17:11:52+00:00,(GMT+09:30) Australia/Adelaide,"[-34.93, 138.6]","[-34.88, 138.63]",7,0,0,1,0,0,"{'id': 'a290272559', 'polyline': None, 'summary_polyline': 'jdftEyw|lYq@r@Q}SeA@~@oDmAup@yHrBicArCkl@~RgDw@cCyAkDwHnGoMc@{GoCmE_L`AkCoDk@{HeU_JwF[gEpC{Of@cAeCxEoJmAuF{Z_AqLaMoDoAcBeHdBwKOoHyUsH_E{LcA}KiIkL'}",False,False,False,False,False,0.0,5.363,14.9,False,,187.0,100.6,False,,
5,290724707,F3B599AA-8F75-45FF-9A5A-21FD6645996B,328705623.0,{'id': 8583263},Morning Ride,9966.0,1660,1763,26.8,61.3,30.1,Ride,2015-04-22 21:51:09+00:00,2015-04-23 07:21:09+00:00,(GMT+09:30) Australia/Adelaide,"[-34.88, 138.63]","[-34.94, 138.6]",13,0,0,1,0,0,"{'id': 'a290724707', 'polyline': None, 'summary_polyline': 'zz|sEc`dmY~G~K~@bKjFtNvHb@vK|FoBzSnAhH`T`Q~DgA~HjB|He@`BrGeEbLjA|BdNs@nDyC`HLnGtEnLhCrAhJrBfCxKuAnC|Ej@vGoG|L~HvLlCf@nk@kSteAmC@eA~GYfBtcA|DIB|A'}",False,False,False,False,False,0.0,6.004,15.5,False,,176.9,106.6,False,,
6,290880661,2CB21F31-9357-4D0D-AF17-39C2B10C468E,328892041.0,{'id': 8583263},Afternoon Ride,10135.7,1823,1891,44.5,61.2,30.6,Ride,2015-04-23 06:39:08+00:00,2015-04-23 16:09:08+00:00,(GMT+09:30) Australia/Adelaide,"[-34.94, 138.6]","[-34.88, 138.63]",7,0,0,1,0,0,"{'id': 'a290880661', 'polyline': None, 'summary_polyline': 'hjftE_z|lYiE|BWcCqBafAcmAfFyk@~RkE{@uGqKfGaMe@iGmC{EgLt@mC}CVkCcBcF{I{AoH_F__@nCcAuAjDmE`A_FaB}FaZWiRqOgB}GfBeJDsIuKaGgIkA{EwMgA{JaI{L'}",False,False,False,False,False,0.0,5.56,11.8,False,,197.3,108.2,False,,
7,291998887,5984DB91-E26F-4F7A-9DAF-001A1DEEAF17,330187341.0,{'id': 8583263},Afternoon Run,5197.0,1799,1820,13.8,56.2,42.0,Run,2015-04-25 05:07:02+00:00,2015-04-25 14:37:02+00:00,(GMT+09:30) Australia/Adelaide,"[-34.88, 138.63]","[-34.88, 138.63]",6,1,0,1,0,0,"{'id': 'a291998887', 'polyline': None, 'summary_polyline': 'xy|sEaadmYbJhNn@lIbFjNlU`HuAxWzAvEbHpFmGcE}BsEhAcYuKuFoGYaGiOWeHcJaI'}",False,False,False,False,False,0.0,2.889,4.9,False,,,,,,
8,293353854,BB721D65-1B68-4F83-AB7A-6302C906EE54,331774288.0,{'id': 8583263},Lunch Run,5436.3,1912,1912,11.0,62.3,46.5,Run,2015-04-27 02:46:51+00:00,2015-04-27 12:16:51+00:00,(GMT+09:30) Australia/Adelaide,"[-34.94, 138.6]","[-34.94, 138.6]",10,1,0,1,0,0,"{'id': 'a293353854', 'polyline': None, 'summary_polyline': 'vlftE}h}lYrAy@UiDjPoSqE{G~AsCcCePcE{BtEmUw@aMwKgDiDyG_i@dBdi@gBbDdH~K|Cl@~LgErSbEbEzBdOeBvDrEhFa@jA'}",False,False,False,False,False,0.0,2.843,5.0,False,,,,,,
9,293829840,CC49F82D-43F2-4EC9-A978-3FEF15D2D32C,332329323.0,{'id': 8583263},Morning Ride,9883.9,1691,1829,26.0,61.5,30.7,Ride,2015-04-27 21:47:39+00:00,2015-04-28 07:17:39+00:00,(GMT+09:30) Australia/Adelaide,"[-34.88, 138.63]","[-34.94, 138.6]",12,2,0,1,0,0,"{'id': 'a293829840', 'polyline': None, 'summary_polyline': 'zy|sE{`dmYpIrLfA|J|EdNvHt@zKrFqBtTpBnH~SzOtXj@dArFwEfKbA`CtPYdCeCdGOzIlFjJdBjAjJhClCfLk@vClFRtFkG`MzHfLhCb@bk@cSh~@uBfOwBxBvbAtDNApB'}",False,False,False,False,False,0.0,5.845,11.1,False,,181.9,107.6,False,,
